0,q1_22-10_50GB_pyarr,q2_22-10_50GB_pyarr,q3_22-10_50GB_pyarr_p2p,q7_22-10_50GB_pyarr_p2p,q9_22-10_50GB_pyarr
0 days 00:00:00,1329917952.0,1313710080.0,1318060032.0,1309933568.0,1308401664.0
0 days 00:00:00.500147200,1329938432.0,1313710080.0,1318060032.0,1309933568.0,1308401664.0
0 days 00:00:00.500422144,1329938432.0,1313710080.0,1318060032.0,1310556160.0,1308401664.0
0 days 00:00:00.500900864,1329938432.0,1313710080.0,1318076416.0,1310556160.0,1308401664.0
0 days 00:00:00.501017088,1329938432.0,1313710080.0,1318076416.0,1310556160.0,1308422144.0
0 days 00:00:00.536447232,1329938432.0,1313755136.0,1318076416.0,1310556160.0,1308422144.0
0 days 00:00:01.000104192,1329938432.0,1457381376.0,1318076416.0,1310556160.0,1308422144.0
0 days 00:00:01.000342272,1329942528.0,1457381376.0,1318076416.0,1310556160.0,1308422144.0
0 days 00:00:01.000463104,1329942528.0,1457381376.0,1318076416.0,1310838784.0,1308422144.0
0 days 00:00:01.000854784,1329942528.0,1457381376.0,1318076416.0,1310838784.0,1308454912.0
0 days 00:00:01.048562688,1329942528.0,1457381376.0,1318092800.0,1310838784.0,1308454912.0
0 days 00:00:01.500284928,1329942528.0,1457381376.0,1318092800.0,1492705280.0,1308454912.0
0 days 00:00:01.500436736,1329942528.0,1457381376.0,1419661312.0,1492705280.0,1308454912.0
0 days 00:00:01.500569088,1329942528.0,1607544832.0,1419661312.0,1492705280.0,1308454912.0
0 days 00:00:01.500984832,1329942528.0,1607544832.0,1419661312.0,1492705280.0,1308504064.0
0 days 00:00:01.501789952,1330483200.0,1607544832.0,1419661312.0,1492705280.0,1308504064.0
0 days 00:00:02.000086784,1330483200.0,1607544832.0,1593581568.0,1492705280.0,1308504064.0
0 days 00:00:02.000093184,1330483200.0,1607544832.0,1593581568.0,1576759296.0,1308504064.0
0 days 00:00:02.000199936,1330483200.0,1607544832.0,1593581568.0,1576759296.0,1308520448.0
0 days 00:00:02.000425984,1502654464.0,1607544832.0,1593581568.0,1576759296.0,1308520448.0
0 days 00:00:02.000856320,1502654464.0,2417459200.0,1593581568.0,1576759296.0,1308520448.0
0 days 00:00:02.500353024,1610735616.0,2417459200.0,1593581568.0,1576759296.0,1308520448.0
0 days 00:00:02.500485376,1610735616.0,3908411392.0,1593581568.0,1576759296.0,1308520448.0
0 days 00:00:02.500527104,1610735616.0,3908411392.0,1593581568.0,1956716544.0,1308520448.0
0 days 00:00:02.500737792,1610735616.0,3908411392.0,1593581568.0,1956716544.0,1308536832.0
0 days 00:00:02.501029888,1610735616.0,3908411392.0,1738018816.0,1956716544.0,1308536832.0
0 days 00:00:03.000168192,2545860608.0,3908411392.0,1738018816.0,1956716544.0,1308536832.0
0 days 00:00:03.000720128,2545860608.0,4087218176.0,1738018816.0,1956716544.0,1308536832.0
0 days 00:00:03.000857088,2545860608.0,4087218176.0,1738018816.0,3019452416.0,1308536832.0
0 days 00:00:03.001017088,2545860608.0,4087218176.0,1738018816.0,3019452416.0,1310023680.0
0 days 00:00:03.001069568,2545860608.0,4087218176.0,2158112768.0,3019452416.0,1310023680.0
0 days 00:00:03.500070656,2545860608.0,4087218176.0,3372650496.0,3019452416.0,1310023680.0
0 days 00:00:03.500254208,2818105344.0,4087218176.0,3372650496.0,3019452416.0,1310023680.0
0 days 00:00:03.500782080,2818105344.0,4087218176.0,3372650496.0,4043411456.0,1310023680.0
0 days 00:00:03.500921088,2818105344.0,3094224896.0,3372650496.0,4043411456.0,1310023680.0
0 days 00:00:03.501975808,2818105344.0,3094224896.0,3372650496.0,4043411456.0,1310044160.0
0 days 00:00:04.000084736,2818105344.0,3094224896.0,4538900480.0,4043411456.0,1310044160.0
0 days 00:00:04.000211968,2818105344.0,3094224896.0,4538900480.0,5103558656.0,1310044160.0
0 days 00:00:04.000220160,2818105344.0,3432382464.0,4538900480.0,5103558656.0,1310044160.0
0 days 00:00:04.000349184,2830688256.0,3432382464.0,4538900480.0,5103558656.0,1310044160.0
0 days 00:00:04.000587008,2830688256.0,3432382464.0,4538900480.0,5103558656.0,1310060544.0
0 days 00:00:04.500131328,2830688256.0,3432382464.0,4538900480.0,5155516416.0,1310060544.0
0 days 00:00:04.500796928,2802569216.0,3432382464.0,4538900480.0,5155516416.0,1310060544.0
0 days 00:00:04.500810752,2802569216.0,3432382464.0,5250572288.0,5155516416.0,1310060544.0
0 days 00:00:04.500950272,2802569216.0,4220862464.0,5250572288.0,5155516416.0,1310060544.0
0 days 00:00:05.000240128,2579910656.0,4220862464.0,5250572288.0,5155516416.0,1310060544.0
0 days 00:00:05.000422912,2579910656.0,4220862464.0,5557514240.0,5155516416.0,1310060544.0
0 days 00:00:05.000882176,2579910656.0,3639574528.0,5557514240.0,5155516416.0,1310060544.0
0 days 00:00:05.001171200,2579910656.0,3639574528.0,5557514240.0,5004324864.0,1310060544.0
0 days 00:00:05.500100096,2579910656.0,3495362560.0,5557514240.0,5004324864.0,1310060544.0
0 days 00:00:05.500632832,2579910656.0,3495362560.0,5147267072.0,5004324864.0,1310060544.0
0 days 00:00:05.500645120,2579910656.0,3495362560.0,5147267072.0,4127088640.0,1310060544.0
0 days 00:00:05.501476096,2432053248.0,3495362560.0,5147267072.0,4127088640.0,1310060544.0
0 days 00:00:06.000603904,2432053248.0,3495362560.0,4468416512.0,4127088640.0,1310060544.0
0 days 00:00:06.000785152,2432053248.0,3495362560.0,4468416512.0,4324966400.0,1310060544.0
0 days 00:00:06.001016320,2432053248.0,3405750272.0,4468416512.0,4324966400.0,1310060544.0
0 days 00:00:06.001398016,2620608512.0,3405750272.0,4468416512.0,4324966400.0,1310060544.0
0 days 00:00:06.500236032,2620608512.0,3853430784.0,4468416512.0,4324966400.0,1310060544.0
0 days 00:00:06.500511744,2620608512.0,3853430784.0,4083707904.0,4324966400.0,1310060544.0
0 days 00:00:06.500692224,2663129088.0,3853430784.0,4083707904.0,4324966400.0,1310060544.0
0 days 00:00:06.501466112,2663129088.0,3853430784.0,4083707904.0,4709036032.0,1310060544.0
0 days 00:00:07.000514816,2663129088.0,3853430784.0,4456099840.0,4709036032.0,1310060544.0
0 days 00:00:07.000671232,2816733184.0,3853430784.0,4456099840.0,4709036032.0,1310060544.0
0 days 00:00:07.000700160,2816733184.0,3853430784.0,4456099840.0,6026051584.0,1310060544.0
0 days 00:00:07.000858112,2816733184.0,4041830400.0,4456099840.0,6026051584.0,1310060544.0
0 days 00:00:07.500085248,2816733184.0,4041830400.0,4456099840.0,6164348928.0,1310060544.0
0 days 00:00:07.500474368,2816733184.0,3912380416.0,4456099840.0,6164348928.0,1310060544.0
0 days 00:00:07.500545024,2616537088.0,3912380416.0,4456099840.0,6164348928.0,1310060544.0
0 days 00:00:07.500820736,2616537088.0,3912380416.0,5086711808.0,6164348928.0,1310060544.0
0 days 00:00:08.000018176,2616537088.0,3371237376.0,5086711808.0,6164348928.0,1310060544.0
0 days 00:00:08.000155904,2616537088.0,3371237376.0,5086711808.0,6627778560.0,1310060544.0
0 days 00:00:08.000768768,2616537088.0,3371237376.0,6110556160.0,6627778560.0,1310060544.0
0 days 00:00:08.001058048,2796265472.0,3371237376.0,6110556160.0,6627778560.0,1310060544.0
0 days 00:00:08.500190976,2654842880.0,3371237376.0,6110556160.0,6627778560.0,1310060544.0
0 days 00:00:08.500635648,2654842880.0,3371237376.0,7274020864.0,6627778560.0,1310060544.0
0 days 00:00:08.500801280,2654842880.0,3654877184.0,7274020864.0,6627778560.0,1310060544.0
0 days 00:00:08.500853248,2654842880.0,3654877184.0,7274020864.0,6850969600.0,1310060544.0
0 days 00:00:09.000268800,2654842880.0,3654877184.0,7628062720.0,6850969600.0,1310060544.0
0 days 00:00:09.000272128,2938843136.0,3654877184.0,7628062720.0,6850969600.0,1310060544.0
0 days 00:00:09.000404224,2938843136.0,3654877184.0,7628062720.0,6474244096.0,1310060544.0
0 days 00:00:09.000805120,2938843136.0,3765170176.0,7628062720.0,6474244096.0,1310060544.0
0 days 00:00:09.500089856,2938843136.0,3765170176.0,7293079552.0,6474244096.0,1310060544.0
0 days 00:00:09.500386048,2938843136.0,3957940224.0,7293079552.0,6474244096.0,1310060544.0
0 days 00:00:09.500664064,2938843136.0,3957940224.0,7293079552.0,6392086528.0,1310060544.0
0 days 00:00:09.501024,2519031808.0,3957940224.0,7293079552.0,6392086528.0,1310060544.0
0 days 00:00:10.000507648,2519031808.0,3957940224.0,6693433344.0,6392086528.0,1310060544.0
0 days 00:00:10.000736,2519031808.0,3957940224.0,6693433344.0,6577610752.0,1310060544.0
0 days 00:00:10.000882176,2519031808.0,3638370304.0,6693433344.0,6577610752.0,1310060544.0
0 days 00:00:10.000923136,2617774080.0,3638370304.0,6693433344.0,6577610752.0,1310060544.0
0 days 00:00:10.500174080,2694631424.0,3638370304.0,6693433344.0,6577610752.0,1310060544.0
0 days 00:00:10.500619776,2694631424.0,3638370304.0,6614761472.0,6577610752.0,1310060544.0
0 days 00:00:10.500640,2694631424.0,3638370304.0,6614761472.0,7769026560.0,1310060544.0
0 days 00:00:10.500668160,2694631424.0,3379351552.0,6614761472.0,7769026560.0,1310060544.0
0 days 00:00:11.000285696,2694631424.0,3379351552.0,6645907456.0,7769026560.0,1310060544.0
0 days 00:00:11.000432128,2492874752.0,3379351552.0,6645907456.0,7769026560.0,1310060544.0
0 days 00:00:11.000832256,2492874752.0,3230666752.0,6645907456.0,7769026560.0,1310060544.0
0 days 00:00:11.001244160,2492874752.0,3230666752.0,6645907456.0,8173015040.0,1310060544.0
0 days 00:00:11.500540160,2492874752.0,3230666752.0,6645907456.0,8657997824.0,1310060544.0
0 days 00:00:11.500569088,2492874752.0,3513774080.0,6645907456.0,8657997824.0,1310060544.0
0 days 00:00:11.500629248,2468810752.0,3513774080.0,6645907456.0,8657997824.0,1310060544.0
0 days 00:00:11.501358848,2468810752.0,3513774080.0,7237701632.0,8657997824.0,1310060544.0
0 days 00:00:12.000152064,2978742272.0,3513774080.0,7237701632.0,8657997824.0,1310060544.0
0 days 00:00:12.000694016,2978742272.0,3698155520.0,7237701632.0,8657997824.0,1310060544.0
0 days 00:00:12.001069568,2978742272.0,3698155520.0,8268218368.0,8657997824.0,1310060544.0
0 days 00:00:12.001694976,2978742272.0,3698155520.0,8268218368.0,8417013760.0,1310060544.0
0 days 00:00:12.500221952,2978742272.0,3698155520.0,8479547392.0,8417013760.0,1310060544.0
0 days 00:00:12.500651264,2978742272.0,3698155520.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:12.500668160,2978742272.0,2850709504.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:12.501088256,2758057984.0,2850709504.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:12.942707968,2758057984.0,2850709504.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:13.000724992,2519547904.0,2850709504.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:13.000882176,2519547904.0,3899244544.0,8479547392.0,8114778112.0,1310060544.0
0 days 00:00:13.000971776,2519547904.0,3899244544.0,9501290496.0,8114778112.0,1310060544.0
0 days 00:00:13.001203200,2519547904.0,3899244544.0,9501290496.0,7884312576.0,1310060544.0
0 days 00:00:13.300668928,2519547904.0,3899244544.0,9501290496.0,7884312576.0,1310076928.0
0 days 00:00:13.500164864,2519547904.0,3899244544.0,9501290496.0,7884312576.0,1312874496.0
0 days 00:00:13.500210944,3061084160.0,3899244544.0,9501290496.0,7884312576.0,1312874496.0
0 days 00:00:13.500446208,3061084160.0,3899244544.0,9501290496.0,8569118720.0,1312874496.0
0 days 00:00:13.500737280,3061084160.0,4043329536.0,9501290496.0,8569118720.0,1312874496.0
0 days 00:00:13.500852736,3061084160.0,4043329536.0,8952864768.0,8569118720.0,1312874496.0
0 days 00:00:14.000210944,3061084160.0,4043329536.0,8952864768.0,8569118720.0,1529532416.0
0 days 00:00:14.000352256,3061084160.0,3061940224.0,8952864768.0,8569118720.0,1529532416.0
0 days 00:00:14.000536064,2723954688.0,3061940224.0,8952864768.0,8569118720.0,1529532416.0
0 days 00:00:14.001012736,2723954688.0,3061940224.0,9276674048.0,8569118720.0,1529532416.0
0 days 00:00:14.001485312,2723954688.0,3061940224.0,9276674048.0,9321152512.0,1529532416.0
0 days 00:00:14.500134912,2723954688.0,3061940224.0,9276674048.0,9321152512.0,1634779136.0
0 days 00:00:14.500153088,2723954688.0,2888855552.0,9276674048.0,9321152512.0,1634779136.0
0 days 00:00:14.500314880,2723954688.0,2888855552.0,8761327616.0,9321152512.0,1634779136.0
0 days 00:00:14.500324096,2720800768.0,2888855552.0,8761327616.0,9321152512.0,1634779136.0
0 days 00:00:14.500620288,2720800768.0,2888855552.0,8761327616.0,9827426304.0,1634779136.0
0 days 00:00:15.000118016,3008630784.0,2888855552.0,8761327616.0,9827426304.0,1634779136.0
0 days 00:00:15.000143104,3008630784.0,3982299136.0,8761327616.0,9827426304.0,1634779136.0
0 days 00:00:15.000333824,3008630784.0,3982299136.0,8761327616.0,9827426304.0,2058772480.0
0 days 00:00:15.000435712,3008630784.0,3982299136.0,8887074816.0,9827426304.0,2058772480.0
0 days 00:00:15.001028096,3008630784.0,3982299136.0,8887074816.0,10071711744.0,2058772480.0
